model,horizon,scenario,entry_slippage,exit_slippage,transaction_cost,confidence_threshold,segment_pnl_mean,total_pnl,t_statistic,n_trades,mean_trade_pnl
DeepLOB,1,paper_proxy,5,0,0.0,,-0.010889488458633422,-0.054447442293167114,-1.0378005061841395,1520,-3.582068571918889e-05
DeepLOB,1,delayed_exit_5,5,5,0.0,,-0.012746196985244752,-0.06373098492622375,-1.3130338969531403,1139,-5.595345472012621e-05
DeepLOB,1,cost_1e-5,5,0,1e-05,,-0.016969487923779523,-0.08484743961889762,-1.5206872442860855,1520,-5.582068395980107e-05
DeepLOB,1,cost_5e-5,5,0,5e-05,,-0.041289487344329245,-0.20644743672164623,-2.806840750461435,1520,-0.00013582068205371462
DeepLOB,1,conf_threshold_0.50,5,0,0.0,0.5,-0.013149112462997437,-0.06574556231498718,-1.0218659444583205,1386,-4.7435470645733895e-05
DeepLOB,2,paper_proxy,5,0,0.0,,-0.012265783548355103,-0.06132891774177551,-1.0485102179759715,1665,-3.6834184829895204e-05
DeepLOB,2,delayed_exit_5,5,5,0.0,,-0.01529654860496521,-0.07648274302482605,-1.1433118803406173,1223,-6.253699347900739e-05
DeepLOB,2,cost_1e-5,5,0,1e-05,,-0.018925783132726793,-0.09462891566363396,-1.465424601919233,1665,-5.6834183581762136e-05
DeepLOB,2,cost_5e-5,5,0,5e-05,,-0.04556578225601697,-0.22782891128008487,-2.434812836633089,1665,-0.0001368341809489999
DeepLOB,2,conf_threshold_0.50,5,0,0.0,0.5,-0.027860552072525024,-0.13930276036262512,-1.2882320390843383,1385,-0.00010057961037012644
DeepLOB,3,paper_proxy,5,0,0.0,,-0.03197330832481384,-0.1598665416240692,-1.6700148239262613,1856,-8.613499009917523e-05
DeepLOB,3,delayed_exit_5,5,5,0.0,,-0.023346519470214842,-0.11673259735107422,-1.0742701439272186,1281,-9.112614937632647e-05
DeepLOB,3,cost_1e-5,5,0,1e-05,,-0.039397308572370095,-0.19698654286185047,-1.9117501550289662,1856,-0.00010613499076608323
DeepLOB,3,cost_5e-5,5,0,5e-05,,-0.06909330628550378,-0.34546653142751893,-2.5431858079320864,1856,-0.00018613498460534424
DeepLOB,3,conf_threshold_0.50,5,0,0.0,0.5,-0.02982025146484375,-0.14910125732421875,-1.5229221036660676,1658,-8.992838198083158e-05
DeepLOB,5,paper_proxy,5,0,0.0,,-0.03629575371742248,-0.18147876858711243,-1.5079708969618077,1866,-9.725550299416528e-05
DeepLOB,5,delayed_exit_5,5,5,0.0,,-0.03383980393409729,-0.16919901967048645,-2.006628072373887,1296,-0.00013055479912846177
DeepLOB,5,cost_1e-5,5,0,1e-05,,-0.043759753364429346,-0.21879876682214672,-1.6925764978095583,1866,-0.00011725550204831014
DeepLOB,5,cost_5e-5,5,0,5e-05,,-0.07361575186514528,-0.3680787593257264,-2.2124578982174534,1866,-0.00019725549803093593
DeepLOB,5,conf_threshold_0.50,5,0,0.0,0.5,-0.0257986843585968,-0.128993421792984,-1.3805423895746463,1634,-7.894334259056549e-05
DeepLOB,10,paper_proxy,5,0,0.0,,0.019615352153778076,0.09807676076889038,0.8595240652278645,939,0.00010444809453555952
DeepLOB,10,delayed_exit_5,5,5,0.0,,0.010888206958770751,0.05444103479385376,0.7545659341995373,644,8.453576831343752e-05
DeepLOB,10,cost_1e-5,5,0,1e-05,,0.015859351871768013,0.07929675935884006,0.6950599618346606,939,8.444809303390849e-05
DeepLOB,10,cost_5e-5,5,0,5e-05,,0.000835354212904349,0.004176771064521745,0.03621239017198344,939,4.448105500023158e-06
DeepLOB,10,conf_threshold_0.50,5,0,0.0,0.5,0.0,0.0,,0,0.0
