model,horizon,n_windows,weighted_f1,accuracy,cohen_kappa,down_f1,stationary_f1,up_f1
SimpleLSTM,1,31442,0.7665467207831448,0.7798486101393041,0.512605277553003,0.5761676123963335,0.8618786988831042,0.5723729199908821
SimpleLSTM,2,31442,0.6554410060189807,0.6740029260225177,0.39317868259601396,0.485093221067102,0.7790455651127216,0.4989444053483462
SimpleLSTM,3,31442,0.6818883996698825,0.6889828891291903,0.48320753125914195,0.5929896325551872,0.768674769024511,0.5935806586077532
SimpleLSTM,5,31442,0.6961019883130385,0.6982380255708924,0.5383972156213974,0.6599504541701073,0.7482801982395147,0.6610485832249308
SimpleLSTM,10,31442,0.6471679256003411,0.646778194771325,0.46807155974288117,0.6607073455110766,0.6347607052896725,0.6419753086419753
DeepLOB,1,31442,0.7887635660791786,0.8034158132434324,0.5586676938040156,0.6008593396653098,0.8810127698992082,0.6048971146108748
DeepLOB,2,31442,0.684824295939044,0.7062845874944342,0.4442937448729579,0.5356598339827207,0.8054256314312441,0.5137719969395562
DeepLOB,3,31442,0.7276456323449451,0.735799249411615,0.5576167895990813,0.6608004171555208,0.8088963056738405,0.6270921320193962
DeepLOB,5,31442,0.7407553971192352,0.7433051332612429,0.606353442278907,0.7205821635012386,0.7911238684036211,0.6907065017754377
DeepLOB,10,31442,0.34230169684842837,0.3621907003371287,0.05560292642703901,0.39692138537658056,0.42421928038017653,0.216478396834514
